timeStamp,alpha,beta,gamma
1420651451260,339.22796175025223,47.95792440254827,24.534285072010075,standing
1420651451311,339.22796175025223,47.95792440254827,24.534285072010075,standing
1420651451361,339.22796175025223,47.95792440254827,24.534285072010075,standing
1420651451412,339.22796175025223,47.95792440254827,24.534285072010075,standing
1420651451462,339.22796175025223,47.95792440254827,24.534285072010075,standing
1420651451512,356.014572827594,33.048739393994644,13.722080405221432,standing
1420651451562,357.637840403441,34.56200632011957,13.210045690630642,standing
1420651451613,359.5440514176764,36.524399762331946,13.93264318888018,standing
1420651451669,1.3309915070954867,39.69948145164825,14.848313392140463,standing
1420651451712,1.7093379037756993,41.03178027440404,15.701034789775195,standing
1420651451763,1.3390791603047218,41.53321366916664,15.42068111579575,standing
1420651451812,0.8872533623520521,42.414235748381984,14.252824120418644,standing
1420651451862,0.7761411231103258,41.465547404160496,14.831502653888316,standing
1420651451912,0.7761411231103258,41.465547404160496,14.831502653888316,standing
1420651451963,0.6820291982489636,40.62179603823335,14.351187928706779,standing
1420651452009,0.7069818340373876,40.04464784203928,14.579128468495794,standing
1420651452060,0.49648876679188586,39.55821802964707,14.336468185441804,standing
1420651452109,0.24798105169628135,38.65950961843831,14.333824871139404,standing
1420651452161,0.11269454650237708,38.275695178395274,14.575078430390425,standing
1420651452212,0.22291259079201436,38.012418771670646,14.375776447160385,standing
1420651452262,0.42396842751471087,37.58160156892935,13.449856556808047,standing
1420651452312,0.48089742287714743,37.469204444316176,13.819915676188678,standing
1420651452362,0.9282981391358731,37.45100660048412,13.534914621011437,standing
1420651452412,1.3138035876457101,37.937998465921325,13.898170481076617,standing
1420651452463,1.6304375355094913,38.33811987996407,14.561916026345921,standing
1420651452512,1.6304375355094913,38.33811987996407,14.561916026345921,standing
1420651452562,1.9804645331719444,38.79403863457811,14.868764287895393,standing
1420651452612,2.2484033705449056,39.216846783849,15.563897538578173,standing
1420651452662,2.46235054541921,39.74636374008384,16.04394507959841,standing
1420651452712,2.550811323366628,39.07859401730714,15.990463779602818,standing
1420651452762,2.085844817759717,39.1129739238173,15.945033741243714,standing
1420651452812,1.6822576962013895,38.250100318386245,14.403083680014051,standing
1420651452862,1.4110105291165558,37.315847758499565,12.415500927078522,standing
1420651452912,359.9214094361505,35.984712115329295,12.412472884688656,standing
1420651452966,356.7051687552625,35.66908598097279,12.706651733485042,standing
1420651453012,351.81744708262346,36.04326245656686,15.86780541042211,standing
1420651453073,348.70007230751173,35.366051113367774,16.06300334057906,sitting
1420651453112,348.70007230751173,35.366051113367774,16.06300334057906,sitting
1420651453162,347.3585396705645,36.377539934820845,15.543816823068912,sitting
1420651453212,345.45326768871035,35.19106845260592,15.481032996228748,sitting
1420651453262,343.2423583488154,35.55405920914664,15.555135593647949,sitting
1420651453312,341.12173530685925,35.33721236103979,14.517864208376258,sitting
1420651453362,338.70091209096023,36.099584499792904,11.031322247037613,sitting
1420651453412,336.6328456436139,36.35038056604921,6.08670297413629,sitting
1420651453462,336.83099069939124,39.83424873235271,0.126584515605839,sitting
1420651453512,341.1234980784549,44.71707629683055,-11.788590739204714,sitting
1420651453562,346.4032744011302,50.32155687730571,-23.126473313151266,sitting
1420651453612,346.4032744011302,50.32155687730571,-23.126473313151266,sitting
1420651453664,350.96671984616756,54.324846647393166,-29.28168666457534,sitting
1420651453713,352.3746457025767,55.8487915964762,-22.057190215110445,sitting
1420651453763,351.03071092207165,56.103190985012795,-14.99785972901566,sitting
1420651453813,350.2223998014877,62.69722356905715,-20.090950320238836,sitting
1420651453863,349.4973789103682,61.10655414862707,-17.890334860904417,sitting
1420651453913,346.60745133726937,60.97786401330725,-12.62763184185059,sitting
1420651453962,344.02164806287016,58.43315678687266,-13.871936307995567,sitting
1420651454014,343.247276763904,54.73442464385631,-23.850422107006867,sitting
1420651454062,342.4866971502186,56.16816671030699,-23.20586016844801,sitting
1420651454112,340.9809011579463,56.70947544975164,-21.620416856844578,sitting
1420651454163,342.1157354979631,56.426184277295775,-23.151704576950998,sitting
1420651454212,342.1157354979631,56.426184277295775,-23.151704576950998,sitting
1420651454262,341.02712514092735,55.43100891019533,-20.24831918682496,sitting
1420651454313,331.479082793962,54.79365111082027,-10.495553360860221,sitting
1420651454363,310.4926986863968,52.7571583509652,-0.09314735695406669,sitting
1420651454413,293.4430486996389,49.748849162971815,10.896048131158839,sitting
1420651454464,283.561728508678,46.00769628687922,16.676156375278683,sitting
1420651454512,280.1072327587114,40.70838893977382,24.206649246401476,sitting
1420651454565,275.9354314054652,37.272884417510475,28.094410061633848,sitting
1420651454612,274.7752042147801,34.776315625671884,30.596283110196,sitting
1420651454662,276.39564434532974,33.88502035956527,31.080726152706745,sitting
1420651454714,279.43350313987906,33.950772819598406,31.348738916848824,sitting
1420651454764,279.43350313987906,33.950772819598406,31.348738916848824,sitting
1420651454814,281.39738028934505,35.03502761456662,31.279952829783795,sitting
1420651454863,279.9184387430774,34.402595460783694,32.930219604038115,sitting
1420651454913,272.7678251850654,31.83995701477247,34.236343766863584,sitting
1420651454963,266.98897213196483,30.722036440689966,36.80689814277688,sitting
