timeStamp,alpha,beta,gamma
1420650333448,,,,standing
1420650333448,,,,standing
1420650333448,,,,standing
1420650337087,58.18650145474183,1.4616269541838751,1.58646969482377,standing
1420650337138,58.18650145474183,1.4616269541838751,1.58646969482377,standing
1420650337192,58.18650145474183,1.4616269541838751,1.58646969482377,standing
1420650337240,58.18650145474183,1.4616269541838751,1.58646969482377,standing
1420650337292,58.18650145474183,1.4616269541838751,1.58646969482377,standing
1420650337342,354.69969625454274,81.02654965806522,6.208285251886395,standing
1420650337392,355.217452750833,80.86908728780739,5.708817777813162,standing
1420650337441,355.4225129860068,80.85001898343579,5.550820623705662,standing
1420650337491,355.55372303661613,80.80677684104036,5.391106356579509,standing
1420650337541,355.85094175863566,80.81877476799022,5.098816451490799,standing
1420650337590,356.34105226390176,80.84475483300722,4.5290237189388165,standing
1420650337642,356.75712454356903,80.85725149739777,4.0345802326937985,standing
1420650337696,358.46920985157504,80.9375754278051,2.446903903669874,standing
1420650337743,358.46920985157504,80.9375754278051,2.446903903669874,standing
1420650337792,1.4233953455596404,81.01604787437945,-0.4074248006296949,standing
1420650337844,3.0132578528932243,80.97189310523711,-2.0724898667317784,standing
1420650337896,3.1053490946367117,80.95245688112881,-2.188795323228746,standing
1420650337943,3.0988717710255185,80.96219322589582,-2.2025988811889503,standing
1420650337992,3.1655387614999455,80.94105266731891,-2.2349895611624677,standing
1420650338042,3.363020907680161,80.8586079433088,-2.3793944835282343,standing
1420650338092,3.626894398969791,80.79499237018356,-2.697472155501888,standing
1420650338142,3.819663033952513,80.75640132649103,-3.0182672303256206,standing
1420650338192,3.776864011217138,80.76706073610625,-3.0264548260043505,standing
1420650338239,3.7442531520410594,80.77551814658617,-2.939311496061479,standing
1420650338288,3.7442531520410594,80.77551814658617,-2.939311496061479,standing
1420650338340,3.645172137697827,80.7782977801889,-2.868920304390714,standing
1420650338393,3.8286940434984453,80.82060047656304,-3.013995232028783,standing
1420650338441,4.078836377307466,80.89755495975146,-3.2385120999749817,standing
1420650338492,4.247455253802936,80.96087600049164,-3.40425164257107,standing
1420650338542,11.241505219951014,80.7713511482722,-12.504792442793283,standing
1420650338592,19.124750981568965,79.98678586352277,-22.48212346704141,standing
1420650338642,13.926326671292578,78.16496945791273,-20.047379544655985,standing
1420650338692,22.87450795256047,78.95904571042918,-30.43289876170952,standing
1420650338744,34.15699053131257,79.16322735970381,-43.880890192940406,standing
1420650338792,40.23383907139899,78.93191156506785,-49.812313278764705,standing
1420650338842,36.94654993118434,80.03371756553327,-46.6247678375267,standing
1420650338892,36.94654993118434,80.03371756553327,-46.6247678375267,standing
1420650338942,35.458070737586425,80.19938439576477,-44.99330885556096,standing
1420650338992,36.176042049660516,80.02331491358339,-45.69393234590277,standing
1420650339042,33.138002532655705,79.41391787805601,-42.51476968023464,standing
1420650339092,32.671165784095145,79.23733353803024,-42.107508293278926,standing
1420650339142,32.538672180218676,79.22973332419424,-42.0167498738504,standing
1420650339192,32.51252766544668,79.22042314056259,-42.02167016308044,standing
1420650339242,32.472838020983666,79.18954320986255,-41.99892963301313,standing
1420650339292,32.61869852625419,79.17650937343768,-42.21047400639394,standing
1420650339344,32.61869852625419,79.17650937343768,-42.21047400639394,standing
1420650339394,33.005877545206424,79.15207379402486,-42.66968617198731,standing
1420650339444,33.253195277299966,79.11483549603518,-42.939348465579286,standing
1420650339492,33.708838805384666,79.07518677681044,-43.35563280690253,standing
1420650339542,34.06646688642062,79.03887792165105,-43.62115867293756,standing
1420650339592,34.4006907589627,78.99618198997975,-43.80556073165262,standing
1420650339642,34.32104998249467,79.00459621485426,-43.647166185202025,standing
1420650339693,34.123592981794296,79.03291971070867,-43.471125742264306,standing
1420650339742,33.908049731919064,79.05561402085647,-43.352855805800175,standing
1420650339792,34.01863330496016,79.07513620793657,-43.5413950613937,standing
1420650339842,34.58507424094822,79.12679842849286,-44.1964062445523,standing
1420650339893,35.438795231174176,79.1476891555541,-45.006795762113995,standing
1420650339942,36.27590156621527,79.1787600901908,-45.74194373696897,standing
1420650339992,36.27590156621527,79.1787600901908,-45.74194373696897,standing
1420650340042,36.53464457160907,79.18525321926535,-45.95919499073652,standing
1420650340092,36.448546240543955,79.22256772801934,-45.941311912885965,standing
1420650340142,36.157744243156024,79.29925038227918,-45.816494259811364,standing
1420650340192,35.99790192777421,79.3629924681044,-45.93231444492933,standing
1420650340242,36.23360041522247,79.40148105214656,-46.42239446340072,standing
1420650340292,36.4407157592025,79.41576495642856,-46.77703968504097,standing
